,住所CD,都道府県CD,市区町村CD,町域CD,郵便番号,事業所フラグ,廃止フラグ,都道府県,都道府県カナ,市区町村,市区町村カナ,町域,町域カナ,町域補足,京都通り名,字丁目,字丁目カナ,補足,事業所名,事業所名カナ,事業所住所,新住所CD,住所,lat,lonn
46605,160880101,13,13104,131040045,160-8801,1,0,東京都,トウキョウト,新宿区,シンジュクク,新宿,シンジュク,,,,,,オリエント時計　株式会社,オリエントトケイ　カブシキカイシヤ,新宿４丁目１番６号ＪＲ新宿ミライナタワー２９階,,東京都新宿区新宿４丁目１番６号ＪＲ新宿ミライナタワー２９階,35.688737,
46606,160880100,13,13104,131040045,160-8801,1,0,東京都,トウキョウト,新宿区,シンジュクク,新宿,シンジュク,,,,,,エプソン販売　株式会社,エプソンハンバイ　カブシキカイシヤ,新宿４丁目１番６号ＪＲ新宿ミライナタワー２９階,,東京都新宿区新宿４丁目１番６号ＪＲ新宿ミライナタワー２９階,35.688737,
46607,160841100,13,13104,131040045,160-8411,1,0,東京都,トウキョウト,新宿区,シンジュクク,新宿,シンジュク,,,,,,日神不動産　株式会社,ニツシンフドウサン　カブシキガイシヤ,新宿５丁目８－１,,東京都新宿区新宿５丁目８－１,35.691984,
46608,160834100,13,13104,131040045,160-8341,1,0,東京都,トウキョウト,新宿区,シンジュクク,新宿,シンジュク,,,,,,株式会社　ＤｅＮＡトラベル,カブシキガイシヤ　デイ－エヌエ－トラベル,新宿５－１５－５新宿三光町ビル,,東京都新宿区新宿５－１５－５新宿三光町ビル,35.693805,
46609,160854700,13,13104,131040045,160-8547,1,0,東京都,トウキョウト,新宿区,シンジュクク,新宿,シンジュク,,,,,,株式会社　三栄,カブシキガイシヤ　サンエイ,新宿６－２７－３０新宿イーストサイドスクエア７Ｆ,,東京都新宿区新宿６－２７－３０新宿イーストサイドスクエア７Ｆ,35.696756,
46610,160852400,13,13104,131040045,160-8524,1,0,東京都,トウキョウト,新宿区,シンジュクク,新宿,シンジュク,,,,,,日清食品　株式会社　東京本社,ニツシンシヨクヒン　カブシキガイシヤ　トウキヨウホンシヤ,新宿６丁目２８－１,,東京都新宿区新宿６丁目２８－１,35.695215,
46611,160848600,13,13104,131040045,160-8486,1,0,東京都,トウキョウト,新宿区,シンジュクク,新宿,シンジュク,,,,,,株式会社　ヨドバシカメラ,カブシキガイシヤ　ヨドバシカメラ,新宿５－３－１,,東京都新宿区新宿５－３－１,35.692062,
46612,160891000,13,13104,131040045,160-8910,1,0,東京都,トウキョウト,新宿区,シンジュクク,新宿,シンジュク,,,,,,伯東　株式会社,ハクトウ　カブシキガイシヤ,新宿１丁目１－１３,,東京都新宿区新宿１丁目１－１３,35.687739,
46614,162853000,13,13104,131040046,162-8530,1,0,東京都,トウキョウト,新宿区,シンジュクク,水道町,スイドウチョウ,,,,,,三晃印刷　株式会社,サンコウインサツ　カブシキガイシヤ,水道町４－１３,,東京都新宿区水道町４－１３,35.708395,
46615,162857500,13,13104,131040046,162-8575,1,0,東京都,トウキョウト,新宿区,シンジュクク,水道町,スイドウチョウ,,,,,,協立機電工業　株式会社,キヨウリツキデンコウギヨウ　カブシキガイシヤ,水道町３－９,,東京都新宿区水道町３－９,35.708096,
